Company Name,Description,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Exchange,Ticker,Year Founded,Revenue,Gross Profit,Net Income,Enterprise Value,EBITDA,Market Cap,HQ City,HQ State/Province,HQ Country
Redcats USA,"Retailer of value-priced apparel. The company's established portfolio of catalogs serves consumers of both special- and regular-size apparel. Its catalogs include Lane Bryant, Roaman's, Lerner, Sue Brett, KingSize and Chadwick's of Boston.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Clothing, Specialty Retail*",,,1993,"4,542.87",,,,,,New York,New York,United States
Tiffany (NYS: TIF),"Tiffany & Co is a monobrand jeweler with a 180-year history. It is vertically integrated, with 65%-75% (by value) of polished diamonds used in its jewellery produced from rough diamonds purchased by the company. Tiffany is present in over 20 countries globally, with over 300 own stores. Its biggest market is its home market, the U.S.; however, Europe and Asia-Pacific have shown the strongest growth levels in recent years. Engagement jewellery contributes over 25% of sales, the remainder being designer jewellery and other collections.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Luxury Goods, Specialty Retail",NYS,TIF,1837,"4,442.10","2,811.00",586.40,"11,123.84","1,012.20","12,581.01",New York,New York,United States
GrandVision (AMS: GVNV),"GrandVision NV is an optical retailer present in various countries in Europe, the Americas, and Asia. The company provides expert optical services, prescription glasses, frames, lenses, contact lenses, and sunglasses through a portfolio of optical retail banners. The company's exclusive portfolio contains the following brands: Miki Ninn, The One, Play, LightFly, Activ, and Enzzo, among others, for frames; Heritage, Seen, Solaris, and Unofficial for sunglasses; and EyeExpert and iWear for contact lenses. The assortment covers the full consumer spectrum, from well-known international brands to more-affordable in-house brands.",Business Products and Services (B2B),Commercial Services,Other Commercial Services,"Accessories, Other Commercial Services*",AMS,GVNV,1996,"4,391.00","3,206.75",255.22,"6,601.31",651.21,"5,489.83",Schiphol,,Netherlands
Mondetta,Designer and manufacturer of casual and sportswear apparel. The company utilizes contemporary styles and fabrics for the production of its apparel.,Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,,,1986,"4,075.61",149.92,,,,,Winnipeg,Manitoba,Canada
American Eagle Outfitters (NYS: AEO),"American Eagle Outfitters Inc is an apparel and accessory retailer with company stores throughout North America, China, Hong Kong, and the United Kingdom. The company leases all of its stores, and the vast majority of stores are in the United States. American Eagle also has an online business that ships worldwide. The company's primary brand, American Eagle Outfitters, sells casual apparel and accessories that target 15- to 25-year-old men and women. Its Aerie brand sells intimates and personal-care products for women. Women's items comprise the majority of the company's sales. American Eagle designs its own merchandise and sources its production from third-party manufacturers that are mostly located outside of North America.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Accessories, Clothing, Specialty Retail*",NYS,AEO,1977,"4,035.72","1,487.64",261.90,"3,366.52",515.60,"3,451.69",Pittsburgh,Pennsylvania,United States
Forever 21,"Operator of apparel stores for women and men. The company offers dresses, tops, sweaters and knits, jackets and coats, denim, leggings, pants, shorts, skirts, rompers and jumpsuits. It also offers socks, hats, scarves, accessories, shoes and beauty products.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Clothing, Department Stores",,,1984,"4,000.00",,,,,,Los Angeles,California,United States
Global Brands Group Holdings (HKG: 00787),"Global Brands Group Holdings Ltd designs and develops fashion apparel and footwear products for men, women, and children. The company's operation comprises of a portfolio of licensed brands in which the group licenses the intellectual property from the brand owners or the licensors for use in selected product categories and geographies and controlled brands. Its portfolio includes Calvin Klein, Under Armour, Juicy Couture, Frye, Cole Haan, Quiksilver, and Spyder. It has its operations in North America, Europe/Middle East, and Asia.",Business Products and Services (B2B),Commercial Services,Consulting Services (B2B),"Consulting Services (B2B)*, Media and Information Services (B2B), Other Apparel",HKG,00787,2005,"3,993.50","1,211.61","-1,212.86","1,511.62",-857.84,120.97,Kowloon,,Hong Kong
Dalian Dayang Trands Company (SHG: 600233),"YTO Express Group Co Ltd provides express delivery and logistics services. The company also provides cold transport services, value-added services, aviation, and e-commerce services.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,SHG,600233,1979,"3,935.65",477.54,250.58,"5,274.78",377.03,"5,509.01",Dalian,Liaoning,China
Calvin Klein,"Manufacturer, distributor of designer labeled apparel. The company also licenses more than 40 retail stores worldwide, as well as its name for jeans, underwear and fragrances.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Accessories, Clothing*, Specialty Retail",,,1967,"3,908.00",,,,,,New york,New York,United States
Tommy Hilfiger Group,"Designer of sportswear, jeanswear and childrenswear. The company, through a range of strategic licensing agreements, offers various related apparel, accessories, footwear, fragrances and home furnishings. It distributes its products through department and specialty stores throughout the world.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Footwear, Home Furnishings",,,1985,"3,900.00",,,,,,Hong Kong,HK,Hong Kong
Mahindra Retail,"Owner and operator of retail stores offering mother and child products. The company offers maternity wear, fashion wear, mother and baby wellness products, furniture and furnishing products and safety accessories. It also offers infant and kids apparel and accessories, strollers and car seats, toys and game products.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Accessories, Other Consumer Durables, Specialty Retail*",,,2007,"3,899.04",,,,,,Bengaluru,Karnataka,India
Prada (HKG: 01913),"Prada is a family-owned holding comprising the 100-year-old Prada brand, a younger and more fashion-oriented Miu Miu, and two classic shoe brands: Church's and Car Shoe. The company generates more than EUR 3 billion in sales, with over 80% from the Prada brand. Leather goods make up 56% of revenue, ready-to-wear around 20%, footwear around 20%, and licensing (mainly eyewear and fragrances) 2%. Regionally, Europe is the biggest region with 39% of sales, followed by Asia-Pacific (32%), 15% in the Americas, and 11% in Japan.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Luxury Goods, Other Apparel",HKG,01913,1913,"3,707.94","2,670.01",242.44,,382.91,"7,645.77",Milan,,Italy
ANTA Sports Products (HKG: 02020),"Anta Sports is the largest Chinese sportswear company, engaging in the design, manufacturing, and marketing of sportswear. Brands under Anta's management include the Anta core brand, Fila, Descente, Sprandi, Kolon, and KingKow. As of the end of 2017, the company had 10,983 stores in China, of which 9,467 were Anta stores and 1,086 were Fila stores.",Consumer Products and Services (B2C),Consumer Durables,Recreational Goods,"Accessories, Recreational Goods*",HKG,02020,1994,"3,643.09","1,917.87",620.21,"11,637.16",897.07,"17,704.22",Xiamen,Fujiang,China
Burberry Group (LON: BRBY),"Burberry is an over 160-year-old British luxury monobrand company best known for its outerwear and signature plaid. It has a global presence with 36% of revenue generated in Europe, 40% in Asia, and 24% in North America. The Chinese are Burberry's most important customers, accounting for more than 30% of sales both at home and abroad. Burberry's product breakdown is approximately 50/50 between new assortment and replenishment items. Apparel contributes slightly over 50% of sales, with slightly less than 30% contributed from the core outerwear area.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Luxury Goods",LON,BRBY,1856,"3,615.17","2,484.81",446.96,"9,593.46",860.31,"9,934.04",London,England,United Kingdom
Mervyn's,Owner and operator of department stores in the United States. The company's stores offer fashion and home products. The company also provides credit card and gift cards services. The company now operates 177 stores in eight states.,Consumer Products and Services (B2C),Retail,Department Stores,"Clothing, Department Stores*, Home Furnishings",,,1949,"3,600.00",,,,160.00,,Hayward,California,United States
PANDORA (PNDORA),"Pandora is a premium jewellery brand and the market leader in the charm bracelet category with an estimated 9% share of the global wristwear market. The company was established in the 1980s in Denmark and since then has expanded globally. Pandora has 2,350 concept stores globally (1,000 owned and operated, and the remainder run by its franchise partners), as well as 5,400 multibrand locations and stores-in-stores. Concept stores account for 60% of revenue, other channels for 34%, and online for 6%. Pandora generates almost 50% of revenue in Europe, 23% in the U.S., 8% in other Americas, 7% in China, and 14% in other Asia-Pacific. Charms and bracelets still account for almost three fourths of its sales. The firm produces mostly internally in two jewellery-crafting facilities in Thailand.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Luxury Goods",,PNDORA,1982,"3,596.14","2,695.79",796.87,"7,477.47","1,189.56","4,629.36",Copenhagen,,Denmark
Abercrombie & Fitch (NYS: ANF),"Abercrombie & Fitch is a specialty retailer that sells casual clothing, personal-care products, and accessories for men, women, and children. It sells direct to consumer through its stores and websites, which include the Abercrombie & Fitch, Abercrombie kids, and Hollister brands. Most stores are in the United States, but the company does have many stores in Canada, Europe, and Asia. All stores are leased. Abercrombie ships to well over 100 countries via its websites. The company sources its merchandise from dozens of vendors that are primarily located in Asia and Central America. Abercrombie has two distribution centers in Ohio to support its North American operations. It uses third-party distributors for sales in Europe and Asia.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Clothing, Internet Retail",NYS,ANF,1892,"3,590.11","2,159.92",74.54,"1,212.38",127.37,"1,633.16",New Albany,Ohio,United States
Jihua Group Corporation (SHG: 601718),"Jihua Group Corp Ltd is a China-based company engaged in the business of formal wear, textile printing and dyeing, professional footwear and protective equipment, ferroalloys, and medicines.",Business Products and Services (B2B),Commercial Products,Aerospace and Defense,"Aerospace and Defense*, Clothing, Other Commercial Products",SHG,601718,2009,"3,546.16",312.43,60.67,"2,323.83",163.72,"3,329.69",Beijing,,China
Carter's (NYS: CRI),"Carter's Inc makes apparel for babies and children under brand names including Carter's and OshKosh B'gosh. It sells its products primarily through three channels: branded retail stores in the United States and Canada, company websites, and department stores and other wholesale locations. The majority of Carter's sales are in the U.S. and through the Carter's brand. The company predominantly sources products through contract manufacturers in Asia. It has multiple distribution centers in the U.S., in addition to distribution centers in Canada and Asia that serve international customers.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Accessories, Clothing*, Specialty Retail",NYS,CRI,1865,"3,462.27","1,497.48",282.07,"4,416.31",479.67,"4,280.98",Atlanta,Georgia,United States
Hugo Boss (ETR: BOSS),"Hugo Boss is a Germany-based menswear apparel brand playing in the premium segment through its two brands, Boss and Hugo. The brand was founded in 1924 and initially focused on uniforms. After the World War II and the death of the founder, the company shifted focus to men's suiting. Hugo Boss' sales are mainly menswear (90%). The company is globally present in 7,600 points of sale, with 62% of revenue generated in the European market, 20% in the Americas, 15% in Asia-Pacific, and 3% from licenses. It generates over 60% of sales through own retail with over 1,000 stores globally.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Accessories, Clothing*",ETR,BOSS,1970,"3,299.42","2,152.11",278.68,"4,448.59",554.12,"4,731.91",Metzingen,,Germany
Tailored Brands (NYS: TLRD),"Tailored Brands Inc is a retailer of men's apparel in the United States. Its products include suits, sports coats, pants, and shirts which are categorized into either the Retail or Corporate Apparel segment. The retail brands include Men's Wearhouse/Men's Wearhouse and Tux, Jos. A. Bank, Moore's, and K&G. Its corporate brands are Dimensions, Alexandra, and Yaffy, which operate primarily in the UK and Europe. The majority of the company's revenues originate from the United States, followed by Canada and the UK.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Clothing, Specialty Retail*",NYS,TLRD,1973,"3,239.90","1,377.47",83.24,"1,741.19",285.90,392.75,Fremont,California,United States
Global Top E-Commerce Company (SHE: 002640),"Global Top E-Commerce Co Ltd is a China-based cross-border e-commerce enterprise. It distributes apparel and household products, electronic products, dress and personal adornment and cosmetics and other products through its e-commerce distribution platforms.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Internet Retail",SHE,002640,1998,"3,221.49","1,349.91",165.75,"3,051.70",223.38,"2,746.27",Taiyuan,Shanxi,China
Souyute Group Company (SHE: 002503),"Souyute Group Co Ltd operates in the garment industry. It primarily focuses on brand promotion, research, and development, design, and construction of marketing channel. The company distributes its apparel under the brand name of CELUCASN. In addition, it invests and establishes a number of subsidiary companies in the area of textile and apparel industry cluster all over the country.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Luxury Goods",SHE,002503,2005,"3,202.87",245.77,97.12,"1,744.25",164.48,"1,495.44",Dongguan,,China
Amer Sports (HEL: AMEAS),"Amer Sports Oyj is a manufacturer of sporting goods across brands including Salomon, Wilson, and Atomic. The company organises itself into three segments: outdoor, ball sports, and fitness. The outdoor segment, which contributes the majority of company revenue, manufactures and supplies footwear, apparel, winter sports equipment, cycling components, and sports instruments. The ball sports segment, the next most significant contributor to consolidated revenue, includes racquets and team sports equipment, and golf equipment. The fitness segment manufactures and supplies fitness equipment. Europe, the Middle East, and Africa, or EMEA, and the Americas are the most significant geographical markets, providing roughly equal contributions to net sales, followed by Asia-Pacific.",Consumer Products and Services (B2C),Consumer Durables,Recreational Goods,"Clothing, Recreational Goods*",HEL,AMEAS,1950,"3,160.45","1,440.86",56.05,"6,158.90",324.99,"5,238.14",Helsinki,,Finland
Galeria Kaufhof,"Operator of a departmental store. The company's clothing retail services include selling of clothing and accessories, shoes, handbags, beauty products, sports products, home appliances and leisure products, enabling customers to avail quality fashion and other products.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Clothing, Department Stores, Specialty Retail*",,,1879,"3,095.88",,,,,,Brandenburg,,Germany
G III (NAS: GIII),"G-III Apparel Group Ltd is a textile company. It makes a wide range of apparel, footwear, and accessories that it sells under its own brands, licensed brands, and private-label brands. G-III has a substantial portfolio for licensed and proprietary brands, anchored by five global power brands: DKNY, Donna Karan, Calvin Klein, Tommy Hilfiger and Karl Lagerfeld. The company has two reportable operations: Wholesale Operations and Retail Operations. The Wholesale operations segment includes sales of products under brands licensed by us from third parties, as well as sales of products under its own brands and private label brands. The retail operations segment consists primarily of Wilsons Leather, G.H. Bass, and DKNY retail stores. It derives most of its revenues from Wholesale operations.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,NAS,GIII,1974,"3,076.21","1,107.11",138.07,"1,721.03",222.65,"1,863.17",New York,New York,United States
Lululemon Athletica (NAS: LULU),"Lululemon is an athleticwear manufacturer and retailer, with virtually all products sold under its namesake brand. Women's apparel makes up most sales, but menswear and accessories are expanding segments. Lululemon operates roughly 400 stores, with more than 300 in North America and the remaining in Australia, East Asia, and the United Kingdom. Company-operated stores and direct-to-consumer digital sales account for more than 90% of revenue; the rest comes through wholesale, outlets, and showrooms.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Specialty Retail",NAS,LULU,1998,"3,049.66","1,670.22",385.10,"17,960.86",753.69,"18,961.58",Vancouver,British Columbia,Canada
Swarovski Crystal,"Designer and seller of quality crystal products created to showcase sparkling crystal products via a network of boutiques and retail partners. The company's crystal products include jewelry, accessories, decorative items for the home, ornaments and figurines, enabling customers to buy premium crystal accessories online.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Internet Retail, Specialty Retail",,,1895,"3,044.96",,,,,,Mannedorf,,Switzerland
Vans,"Manufacturer and seller of sports shoes designed to offer branded lifestyle products. The company's sports shoes include action sports snowboard boots, strap snowboard boot bindings and are used for action sports such as skateboarding, snowboarding, surfing and wakeboarding, enabling skateboarding and snowboarding competitors of youths ranging from 10 to 24 years of age avail a wide range of active shoes.",Consumer Products and Services (B2C),Apparel and Accessories,Footwear,"Accessories, Footwear*, Specialty Retail",,,1966,"3,000.00",,,,,,Costa Mesa,California,United States
Miss Sixty,"Developer of fashionable products designed to offer trending apparel and accessories to the people. The company's products include apparel, footwear and accessories for men, women and children, as well as offers delivery services for the products, enabling users to get their desired clothing delivered at their doorstep.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Accessories, Clothing*, Footwear, Internet Retail",,,1989,"2,932.19",,,,,,Milan,,Italy
Shenzhou International (HKG: 02313),"Shenzhou is the largest vertically integrated knitwear manufacturer in the world. The group mainly produces sportswear (66% of 2017 revenue), casual wear (25% of 2017 revenue), and lingerie (7% of 2017 revenue) for international clients such as Nike, Adidas, Puma, and Uniqlo. Mainland China is the company's largest market, accounting for 26.6% of sales in 2017, with the second- largest market being Europe at 22.3%. Japan comes in third at 17.3%, and U.S.A comes in fourth at 12.9%. The firm has factories in China, Cambodia, and Vietnam.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,HKG,02313,,"2,918.18",924.24,636.92,"17,818.63",813.95,"20,590.62",Kowloon,,Hong Kong
Gildan Activewear (TSE: GIL),"Gildan is a vertically integrated designer and manufacturer of basic apparel, including T-shirts, underwear, socks, and hosiery. Its primary market is the sale of blank T-shirts to wholesalers and printers (printwear). Gildan also sells branded clothing through retail and direct-to-consumer channels. Brands include Gildan, American Apparel, Comfort Colors, and Gold Toe. Gildan produces most of its clothing at factories in Latin America. The Montreal-based company generates most of its sales in the U.S. and was incorporated in 1984.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,TSE,GIL,1984,"2,908.57",805.95,350.77,"7,111.71",555.27,"7,576.79",Montreal,Quebec,Canada
Heilan Home (SHG: 600398),"Hla Corp Ltd is engaged in the management of brand clothing, and production and sale of high-end suits and professional clothes. The company offers men's clothing, women's clothing and accessories.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Luxury Goods",SHG,600398,1997,"2,869.23","1,178.11",526.69,"6,233.89",737.21,"6,584.74",Jiangyin,Jiangsu,China
Caleres (NYS: CAL),"Caleres Inc is a footwear retailer in the United States. The company is engaged in the operation of retail shoe stores and e-commerce websites, as well as the design, sourcing and marketing of footwear for women and men. It offers products under Naturalizer, Dr. Scholl's, LifeStride, Ryka, and Franco Sarto brands. It operates over 1,100 retail shoe stores in the United States, Canada and Guam. Calares majorly derives its business from the United States.",Consumer Products and Services (B2C),Apparel and Accessories,Footwear,"Distributors/Wholesale (B2C), Footwear*",NYS,CAL,1878,"2,834.85","1,156.34",-5.44,"1,738.12",12.52,"1,008.05",Saint Louis,Missouri,United States
Columbia Sportswear (NAS: COLM),"Columbia makes outdoor and active-lifestyle apparel, footwear, equipment, and accessories that it sells under four primary brands: Columbia, Sorel, Mountain Hardwear, and prAna. The majority of sales are in the United States, but the company also has significant sales in its three other geographic segments: Latin American and Asia-Pacific; Europe, Middle East, and Africa; and Canada. Most sales are through wholesale channels, including sporting goods and department stores, but the company also operates its own branded stores in each of its geographic segments. Columbia sources products from around the world and uses contract manufacturers outside the United States, predominantly in Asia, to manufacture its products.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Distributors/Wholesale (B2C), Footwear",NAS,COLM,1938,"2,802.33","1,386.35",268.26,"5,375.71",409.07,"6,894.11",Portland,Oregon,United States
Gitanjali Gems (BOM: 532715),"Gitanjali Gems Ltd is an integrated branded jewelry manufacturer and retailer. The business activity of the group includes rough diamond sourcing, cutting, polishing, and distribution, to diamond and gold jewelry. It has as an extensive global retail network of about 3,000 points of sale including own stores, shop-in-shops, retailers and franchise outlets. Geographically, the group operates through Indian market; however, it is also expanding its presence across the globe and holds operation in USA, UK, Belgium, Italy, the Middle East, China, Singapore, and Japan. In addition, the group is also engaged in infratech, financial securities, and investment activities.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Luxury Goods",BOM,532715,1966,"2,779.43",196.29,29.85,118.60,39.31,1.82,Mumbai,Maharashtra,India
Titan Company (NSE: TITAN),"Titan Co Ltd is a watch manufacturing industry. It operates in various business segments such as Watches, Jewellery, Eyewear and other accessories in India and internationally under the brand Fastrack, Tanishq, Titan eye plus, Xylys, Sonata, Skinn, and others. Group operates more than 1200 stores with approximately 1.7 million square feet of retail space. the company generates maximum revenue from Jewellery segment.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Luxury Goods",NSE,TITAN,1984,"2,773.77",763.56,199.45,"11,999.15",308.99,"14,191.06",Bengaluru,Yemalur,India
Fila Korea (KRX: 081660),"Fila Korea Ltd is one of the leading players in the footwear industry. It deals primarily in footwear of all kinds and sportswear brands. The company owns the global Fila footwear, sportswear, intimates, and accessories business. It positions its products particularly for the age group of 18-34. Fila Korea markets its products through a network of about 500 distribution facilities, as well as nearly 300 franchised retail stores.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Distributors/Wholesale (B2C), Footwear",KRX,081660,1991,"2,688.21","1,335.20",130.60,"4,117.82",413.87,"3,958.71",Seoul,Seocho-Gu,South Korea
Guess (NYS: GES),"Guess designs, markets, distributes, and licenses contemporary apparel and accessories that reflect European fashion sensibilities under brands including Guess, Marciano, and G by Guess. Apparel is sold both through wholesale accounts and retail storefronts with nearly 1,700 stores (as of the third quarter of fiscal 2019) and concessions, operated directly and through licensees. The company has a global presence, with about 40% of revenue generated in the Americas.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,NYS,GES,1981,"2,609.69",939.60,14.10,"1,500.40",45.62,"1,488.68",Los Angeles,California,United States
REI,"Operator of an outdoor gear and apparel retailing store intended sell women's and men's clothing and outwear. The company's store designs and sells customized gears and apparel for camping, hiking, cycling and other outdoor sports and activities and contribute the earnings for some charitable causes through a connected co-operative, enabling adventure enthusiasts to browse and buy adventure sports products",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Other Apparel, Recreational Goods",,,1938,"2,600.00",,,,,,Kent,Washington,United States
Kontoor Brands,"Operator of Wrangler, Lee and Rock & Republic brands, and the VF Outlet business in North Carolina.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,,,,"2,600.00",,,,,,Greensboro,North Carolina,United States
Fossil Group (NAS: FOSL),"Fossil Group Inc designs and sells watches and other fashion accessories, including jewelry, handbags, and small leather goods. Watches make up the majority of company revenue. Roughly half of sales occur in the Americas, with the rest coming from Europe and Asia. Fossil primarily sells its products through third-party retailers but also has company-owned stores in the United States. Its products target a wide range of ages and income levels with both owned and licensed brands. Fossil sources almost all of its products internationally, and the company itself is involved in the manufacture of roughly half of its non-Swiss-made watches. The remaining products are produced by third-party manufacturers.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Clothing",NAS,FOSL,1984,"2,541.49","1,340.14",-3.48,941.74,127.65,688.56,Richardson,Texas,United States
Ann,"Retailer of women's apparel. The company engages in selling casual separates, dresses, tops, shoes and accessories for women via its fashion stores located in the United States.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Accessories, Clothing*, Specialty Retail",,,1954,"2,540.59","1,288.42",76.35,"1,531.48",234.41,,New York,New York,United States
Beijing Kingee Culture Development Company (SHE: 002721),"Beijing Kingee Culture Development Co Ltd is a Chinese company engaged in the development of precious metals handicrafts and jewelry. It carries the activities of wholesale, retail, and supply chain services in China. The company offers ornaments, customized jewelry and product package.",Business Products and Services (B2B),Other Business Products and Services,Conglomerates,"Conglomerates*, Luxury Goods, Specialized Finance",SHE,002721,2007,"2,525.86",200.62,16.92,"1,575.22",32.27,896.99,Beijing,Xicheng District,China
V&D,"Operator of a department-store chain in Houten, Netherlands. The company manages a total of 63 branded stores and a web portal, from which it sells clothing, footwear, recreational goods, electronics, baggage, books and entertainment products.",Consumer Products and Services (B2C),Retail,Department Stores,"Clothing, Department Stores*, Electronics (B2C), Internet Retail",,,1887,"2,514.23",,,,,,,,Netherlands
Kingold Jewelry (NAS: KGJI),"Kingold Jewelry Inc designs and manufactures 24-karat gold jewelry and Chinese ornaments. The company along with its subsidiaries develops markets and sells products including gold necklaces, rings, earrings, bracelets, and pendants to the jewelry market in China. The company also sells gold bars and coins and other products through various banks in China. It derives most of its revenues from the sales of 24-karat jewelry and Chinese ornaments and from design and processing fees.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Other Apparel, Other Consumer Products and Services",NAS,KGJI,2002,"2,501.56",245.71,50.52,"1,037.07",236.44,56.65,Wuhan,,China
The North Face,"Manufacturer and supplier of apparel. The company specializes in apparel such as jackets, sweatshirts, T-shirts in addition to footwear and accessories for both men and women.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Accessories, Clothing*, Footwear",,,,"2,500.00",,,,,,Alameda,California,United States
Foschini Group (JSE: TFG),"Foschini Group Ltd is a South African fashion retailer. The company offers ladieswear, footwear, accessories, cosmetics and fragrances, kidswear, homewares, sportswear, cellular and jewelry mainly in South Africa, as well as financial services. The Foschini Group portfolio consists of multiple brands, including @home, @homelivingpace, American Swiss, Sterns, Charles & Keith, Colette, DonnaClaire, Phase Eight, Soda Bloc, Duesouth, Exact, Fabiani, The Fix, Foschini, G-star Raw, hi, Markham, Mat & May, and Whistles.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Accessories, Clothing*, Electronics (B2C), Home Furnishings",JSE,TFG,,"2,446.87","1,311.22",194.87,"3,591.90",253.29,"2,668.16",Cape Town,,South Africa
Arcadia Group,"Owner and operator of a chain of fashion retail stores intended to sell men and women fashion wear. The company's chain of fashion retail stores offer well-known quality clothing brands such as Burton, Dorothy Perkins, Evans, Miss Selfridge, Topman, Topshop, Wallis and BHS and the out of town chain Outfit, enabling customers to get a wide range of fashionable accessories at reasonable price.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Clothing, Specialty Retail*",,,1900,"2,421.60",,,,,,London,England,United Kingdom
Warnaco Group,"Developer and marketer of intimate apparel, sportswear and swimwear products worldwide. The company's products are sold under several brand names, including Calvin Klein, Speedo, Chaps, Warner's and Olga.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,,,1874,"2,405.71","1,041.21",79.97,"2,080.19",237.60,,New York,New York,United States
Crystal Group (Garment) (HKG: 02232),"Crystal International Group Ltd is principally engaged in the manufacturing and trading of garments. It has more than 15 self-operating manufacturing facilities. The company's operating segments include Lifestyle wear, Denim, Intimate, Sweater, Sportswear and Outdoor Apparel. It generates a majority of its revenue from Lifestyle wear. Geographically, the company gets a major share of its revenue from the Asia Pacific which includes Japan, China, Hong Kong and South Korea.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Other Apparel",HKG,02232,1970,"2,350.82",465.72,149.79,"2,101.83",252.25,"1,523.09",Kwun Tong,,Hong Kong
Chow Sang Sang Holdings (HKG: 00116),"Chow Sang Sang Holdings International Ltd is an investment holding company. The company's main businesses include Jewellery Retail, Wholesale of precious metals and securities and Futures brokerage. The manufacture and retail of Jewellery segment produces jewellery products for the group's retail business and operates retail stores mainly in Hong Kong, Macau, Mainland China and Taiwan. The group derives majority of revenue from Jewellery Retail segment.",Consumer Products and Services (B2C),Apparel and Accessories,Luxury Goods,Luxury Goods*,HKG,00116,,"2,323.23",561.43,139.28,"1,413.49",208.88,"1,043.66",Kowloon,,Hong Kong
Calzedonia,"Owner and operator of an Italian fashion brand created to promote style and design. The company's line of legwear and beachwear includes tights and stockings, leggings, socks, swimsuits, boxer shorts and kidswear, which are made with the use of meticulous research on style and design, state-of-the-art materials and quality fabrics, enabling customers to possess fashionable clothes that meet the latest tastes and trends.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,,,1987,"2,322.91",,,,,,Dossobuono di Villafranca,,Italy
Lacoste,"Manufacturer of apparel, fragrances and sporting goods. The company's products include apparel for men, women and children, as well as accessories, footwear, leather goods, fragrances, and sporting goods, including tennis, biking and surfing gear.",Business Products and Services (B2B),Commercial Products,Distributors/Wholesale,"Accessories, Clothing, Distributors/Wholesale*, Footwear, Recreational Goods",,,1933,"2,300.00",,,,,,Paris,,France
Firestar Diamond Group,"Provider of diamond jewelry, jewelry manufacturing, bridal jewelry, and loose diamond. The company operates within the industries of luxury goods, other business products and services, and other consumer products and services.",Consumer Products and Services (B2C),Apparel and Accessories,Luxury Goods,"Luxury Goods*, Other Business Products and Services, Other Consumer Products and Services",,,1999,"2,300.00",,,,,,,,
Youngone (KRX: 009970),"Youngone Holdings co Ltd manufactures, markets and exports sportswear. Its products include clothes for skiing, mountain climbing, and other sports activities. It also produces sports accessories, such as gloves, backpacks, & sleeping bags.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,KRX,009970,,"2,291.58",795.99,78.47,"1,368.92",279.71,677.77,Seoul,,South Korea
